Comment,Designator,Footprint,JLCPCB Part #（optional）
SN74AHCT1G125,U2,SN74AHCT1G125 - Junco,C7484
D,"D1,D2,D3,D4,D5,D6,D13,D19,D25,D26,D7,D8,D9,D10,D11,D12,D27,D15,D17,D18,D28,D29,D24,D20,D21,D22,D23,D14,D30,D31,D16",D_SOD-123_DO-35_Hybrid_DoubleSided_V2,C2972760
