Designator ,Val,Package,Mid X,Mid Y,Rotation ,Layer
D55,1N4841W,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,-15.7255,-133.135135,180,top
D56,1N4841W,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,100.052501,-127.015135,180,top
D57,1N4841W,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,95.9525,-154.425135,153,top
D58,1N4841W,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,79.747298,-151.877859,165,top
D59,1N4841W,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,60.13,-147.196885,180,top
D60,1N4841W,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,41.4245,-144.785135,180,top
D61,1N4841W,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,22.374501,-147.285135,180,top
Q1,Si2301CDS,SOT-23,135.55,-104.5,90,top
Q2,Si2301CDS,SOT-23,103.325,-103.925,0,top
U2,74LVC1G34SE-7,SOT-353_SC-70-5_Handsoldering,160.275,-51.2,0,top
U4,74LVC1G34SE-7,SOT-353_SC-70-5_Handsoldering,79.125,-51.948135,180,top
