Designator ,Val,Package,Mid X,Mid Y,Rotation ,Layer
"D53","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",20.609500,-128.235135,180.000000,top
"D54","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",1.527000,-133.020135,180.000000,top
"D55","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",-17.490500,-133.135135,180.000000,top
"D56","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",98.287501,-127.015135,180.000000,top
"D57","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",94.187500,-154.425135,153.000000,top
"D58","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",77.982298,-151.877859,165.000000,top
"D59","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",58.365000,-147.196885,180.000000,top
"D60","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",39.659500,-144.785135,180.000000,top
"D61","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",20.609501,-147.285135,180.000000,top
"Q1","Si2301CDS","SOT-23",135.550000,-104.500000,90.000000,top
"Q2","Si2301CDS","SOT-23",101.560000,-103.925000,0.000000,top
